contrast_label,question_id,pooled_effect,n_models,model_sign_consistency,model_sd,model_min,model_max,model_mean_abs_dev_from_pooled
Male (name),q01,-0.060911458333333335,8,8/8,0.049715078263002144,-0.130625,-0.0002083333333333335,0.040722656249999996
Female (name),q01,-0.05083333333333334,8,7/8,0.04149563110489646,-0.11791666666666667,0.0,0.03244791666666667
Low-tier (inst.),q01,-0.06234375,8,7/8,0.048645689940647226,-0.12958333333333333,0.0,0.0388671875
Top-tier (inst.),q01,-0.049401041666666666,8,7/8,0.04258328637531191,-0.11895833333333333,0.0,0.034303385416666665
Lower (profile),q01,-0.08861979166666667,8,8/8,0.06913716179897077,-0.19270833333333334,-0.0002083333333333335,0.05462890625
Higher (profile),q01,-0.023124999999999996,8,6/8,0.036771360275463516,-0.11229166666666668,0.0,0.022291666666666668
Yes (AI),q01,-0.03,8,5/8,0.03240064177298942,-0.07666666666666667,0.0,0.029166666666666664
No (AI),q01,-0.00020833333333333237,8,2/8,0.024027720432998823,-0.04416666666666667,0.03333333333333333,0.016562499999999994
Male (name),q02,-0.047239583333333335,8,7/8,0.04546234460282173,-0.10729166666666666,0.0,0.03983072916666666
Female (name),q02,-0.04057291666666666,8,7/8,0.03707275631663631,-0.09145833333333332,0.0,0.03238281249999999
Low-tier (inst.),q02,-0.049765625,8,7/8,0.04514120777773825,-0.10833333333333334,0.0,0.03923828125
Top-tier (inst.),q02,-0.038046875,8,7/8,0.037356527376735775,-0.08729166666666666,0.0,0.032975260416666666
Lower (profile),q02,-0.075,8,7/8,0.06985467127691855,-0.170625,0.0,0.060572916666666664
Higher (profile),q02,-0.0128125,8,6/8,0.014270887643275177,-0.03958333333333334,0.0,0.011640624999999998
Yes (AI),q02,-0.016770833333333332,8,4/8,0.028762290333665976,-0.05833333333333333,0.012499999999999997,0.02513020833333333
No (AI),q02,-0.004583333333333332,8,2/8,0.017440374613713623,-0.04666666666666666,0.009166666666666672,0.010520833333333333
Male (name),q03,-0.10888020833333334,8,8/8,0.05862987312428233,-0.1839583333333333,-0.012708333333333334,0.04317057291666666
Female (name),q03,-0.09510416666666666,8,8/8,0.05310883274069733,-0.16854166666666667,-0.012083333333333333,0.038359375
Low-tier (inst.),q03,-0.12315104166666664,8,8/8,0.06543822035541408,-0.20937499999999998,-0.017083333333333336,0.04600911458333333
Top-tier (inst.),q03,-0.08083333333333333,8,8/8,0.045911189285263575,-0.14312499999999997,-0.007708333333333332,0.03421874999999999
Lower (profile),q03,-0.186171875,8,8/8,0.09046883352862334,-0.29166666666666663,-0.02395833333333333,0.06658854166666667
Higher (profile),q03,-0.0178125,8,6/8,0.02999152492722431,-0.06083333333333332,0.03416666666666666,0.022812499999999996
Yes (AI),q03,-0.03697916666666667,8,7/8,0.025842692237139142,-0.07333333333333332,0.0,0.02072916666666666
No (AI),q03,0.0128125,8,5/8,0.021278284164474515,-0.019999999999999993,0.03833333333333333,0.01802083333333333
Male (name),q04,-0.07197916666666666,8,8/8,0.060275183270181505,-0.17041666666666666,-0.0056249999999999955,0.044921875
Female (name),q04,-0.05841145833333333,8,8/8,0.05091741892856729,-0.138125,-2.8912057932946783e-19,0.039264322916666664
Low-tier (inst.),q04,-0.08005208333333334,8,8/8,0.06110828986543297,-0.186875,-0.008333333333333333,0.04584635416666667
Top-tier (inst.),q04,-0.05033854166666666,8,6/8,0.05090134227685276,-0.12166666666666666,0.016666666666666666,0.03955729166666667
Lower (profile),q04,-0.12236979166666667,8,8/8,0.08291329688504265,-0.285625,-0.012499999999999999,0.061399739583333335
Higher (profile),q04,-0.008020833333333336,8,5/8,0.04278644135111103,-0.08229166666666667,0.06625,0.029713541666666666
Yes (AI),q04,-0.022395833333333337,8,7/8,0.02621430869122301,-0.0775,0.005,0.018411458333333332
No (AI),q04,0.008749999999999996,8,5/8,0.01921577559574506,-0.01916666666666667,0.037499999999999985,0.015520833333333327
Male (name),q05,-0.16385416666666666,8,8/8,0.10419559122227164,-0.32895833333333335,-0.05125,0.085234375
Female (name),q05,-0.14513020833333334,8,8/8,0.09182264445371961,-0.27854166666666663,-0.04854166666666667,0.07521484375
Low-tier (inst.),q05,-0.18932291666666667,8,8/8,0.10729410827087786,-0.35729166666666673,-0.07354166666666666,0.08795572916666669
Top-tier (inst.),q05,-0.11966145833333335,8,8/8,0.08857047413020215,-0.2502083333333333,-0.02979166666666666,0.07249348958333333
Lower (profile),q05,-0.27393229166666666,8,8/8,0.14477851676754638,-0.5172916666666666,-0.10583333333333333,0.11528645833333331
Higher (profile),q05,-0.03505208333333334,8,5/8,0.055417310012377326,-0.12104166666666667,0.03125,0.046510416666666665
Yes (AI),q05,-0.05520833333333334,8,8/8,0.03864970379155063,-0.14083333333333334,-0.02083333333333333,0.02796875
No (AI),q05,0.011249999999999996,8,6/8,0.021634591642911948,-0.015000000000000001,0.049999999999999996,0.0159375
Male (name),q06,-0.11190104166666666,8,8/8,0.06278451486074893,-0.216875,-0.03916666666666666,0.04966796875
Female (name),q06,-0.09416666666666666,8,8/8,0.0592242761116789,-0.18083333333333332,-0.024791666666666674,0.04598958333333332
Low-tier (inst.),q06,-0.12453124999999998,8,8/8,0.06985376146687755,-0.23541666666666664,-0.04374999999999999,0.05384114583333332
Top-tier (inst.),q06,-0.08153645833333333,8,8/8,0.05188975185878488,-0.16229166666666664,-0.02020833333333334,0.04181640624999999
Lower (profile),q06,-0.18752604166666664,8,8/8,0.08970647941568516,-0.35666666666666663,-0.09729166666666667,0.06789713541666664
Higher (profile),q06,-0.01854166666666667,8,4/8,0.03971594328218392,-0.07958333333333333,0.03333333333333332,0.03484374999999999
Yes (AI),q06,-0.052812500000000005,8,8/8,0.02851112808366541,-0.08416666666666667,-0.007500000000000011,0.023984374999999995
No (AI),q06,0.009270833333333338,8,4/8,0.021728106569127575,-0.016666666666666663,0.03333333333333332,0.019687499999999997
