model_label,term,estimate,se,z_value,p_value,ci_low,ci_high,n_obs,n_texts,n_models,n_prompts,converged,p_value_holm
name_x_profile,Intercept,-0.008958333333332917,0.01126253275332599,-0.795410191432064,0.4263749335203788,-0.031032491904554593,0.013115825237888757,7680,40,8,3,True,1.0
name_x_profile,C(pi_name_group)[T.M_N],-0.019166666666666637,0.005686845984854906,-3.3703509322585696,0.0007507251119353382,-0.03031267998260847,-0.008020653350724808,7680,40,8,3,True,0.008257976231288721
name_x_profile,C(pi_metric_level)[T.LOW_B],-0.1704166666666671,0.005686845984854915,-29.966815897690402,2.6571213070717193e-197,-0.18156267998260894,-0.15927065335072527,7680,40,8,3,True,6.90851539838647e-196
name_x_profile,C(pi_name_group)[T.M_N]:C(pi_metric_level)[T.LOW_B],0.0028645833333333266,0.008042414718908791,0.3561844835728638,0.721702411288325,-0.012898259864462726,0.01862742653112938,7680,40,8,3,True,1.0
name_x_profile,Group Var,0.03999523179539594,,,,,,7680,40,8,3,True,
name_x_profile,model Var,0.4345987165252627,0.037382545941720524,11.625712095767986,3.0503909813735576e-31,0.36133027282907654,0.5078671602214488,7680,40,8,3,True,7.320938355296538e-30
name_x_profile,prompt Var,0.14481418256736225,0.02323305585913227,6.233109559302325,4.572661287060846e-10,0.09927822983265572,0.1903501353020688,7680,40,8,3,True,6.8589919305912685e-09
name_x_institution,Intercept,-0.11494791666666987,0.011073096537936875,-10.380828548983898,3.0313282288642235e-25,-0.1366507870783613,-0.09324504625497844,7680,40,8,3,False,6.062656457728447e-24
name_x_institution,C(pi_name_group)[T.M_N],-0.019166666666666655,0.006294524632572004,-3.044974447710592,0.0023270007925287103,-0.031503708246308,-0.006829625087025311,7680,40,8,3,False,0.023270007925287103
name_x_institution,C(pi_inst_tier)[T.TOP_I],0.04156249999999993,0.006294524632572002,6.602960894763725,4.030258819487319e-11,0.02922545842035859,0.053899541579641275,7680,40,8,3,False,7.657491757025907e-10
name_x_institution,C(pi_name_group)[T.M_N]:C(pi_inst_tier)[T.TOP_I],0.002864583333333335,0.008901802104074851,0.32179813703362997,0.7476056257263015,-0.014582628188156246,0.020311794854822915,7680,40,8,3,False,1.0
name_x_institution,Group Var,0.024029905903444795,,,,,,7680,40,8,3,False,
name_x_institution,model Var,0.36445028928151735,0.03319852551587832,10.977905904501894,4.881073820124445e-28,0.29938237493056186,0.42951820363247284,7680,40,8,3,False,1.0250255022261335e-26
name_x_institution,prompt Var,0.11557335027784986,0.01903066413014157,6.073006674254731,1.2553723553430744e-09,0.0782739339808941,0.1528727665748056,7680,40,8,3,False,1.757521297480304e-08
institution_x_profile,Intercept,-0.03666666666666532,0.01073140978158686,-3.416761396026329,0.0006337079427539271,-0.05769984334191641,-0.015633489991414225,7680,40,8,3,True,0.007604495313047125
