pair_label,left_out_text_id,loo_mean_diff
Low-tier (inst.) - Top-tier (inst.),10.3030_101087383_full,-0.04262820512820512
Low-tier (inst.) - Top-tier (inst.),10.3030_101115751_full,-0.04318910256410256
Low-tier (inst.) - Top-tier (inst.),10.3030_101115790_full,-0.04289529914529914
Low-tier (inst.) - Top-tier (inst.),10.3030_101116284_full,-0.042494658119658114
Low-tier (inst.) - Top-tier (inst.),10.3030_101116420_full,-0.043189102564102556
Low-tier (inst.) - Top-tier (inst.),10.3030_101116585_full,-0.04324252136752137
Low-tier (inst.) - Top-tier (inst.),10.3030_101117133_full,-0.04313568376068375
Low-tier (inst.) - Top-tier (inst.),10.3030_101122653_full,-0.04206730769230769
Low-tier (inst.) - Top-tier (inst.),10.3030_101123732_full,-0.041479700854700846
Low-tier (inst.) - Top-tier (inst.),10.3030_101123955_full,-0.04356303418803418
Low-tier (inst.) - Top-tier (inst.),10.3030_101124193_full,-0.04358974358974358
Low-tier (inst.) - Top-tier (inst.),10.3030_101124195_full,-0.04302884615384615
Low-tier (inst.) - Top-tier (inst.),10.3030_101124225_full,-0.04292200854700854
Low-tier (inst.) - Top-tier (inst.),10.3030_101124385_full,-0.042654914529914524
Low-tier (inst.) - Top-tier (inst.),10.3030_101124778_full,-0.04342948717948718
Low-tier (inst.) - Top-tier (inst.),10.3030_101124960_full,-0.04345619658119658
Low-tier (inst.) - Top-tier (inst.),10.3030_101124977_full,-0.042120726495726485
Low-tier (inst.) - Top-tier (inst.),10.3030_101125203_full,-0.04204059829059829
Low-tier (inst.) - Top-tier (inst.),10.3030_101125325_full,-0.04412393162393161
Low-tier (inst.) - Top-tier (inst.),10.3030_101125401_full,-0.04361645299145299
Low-tier (inst.) - Top-tier (inst.),10.3030_101125480_full,-0.043349358974358966
Low-tier (inst.) - Top-tier (inst.),10.3030_101125586_full,-0.04342948717948718
Low-tier (inst.) - Top-tier (inst.),10.3030_101125590_full,-0.042654914529914524
Low-tier (inst.) - Top-tier (inst.),10.3030_101125953_full,-0.042521367521367516
Low-tier (inst.) - Top-tier (inst.),10.3030_101126218_full,-0.04455128205128204
Low-tier (inst.) - Top-tier (inst.),10.3030_101160588_full,-0.04361645299145298
Low-tier (inst.) - Top-tier (inst.),10.3030_101160608_full,-0.042841880341880335
Low-tier (inst.) - Top-tier (inst.),10.3030_101161294_full,-0.04318910256410255
Low-tier (inst.) - Top-tier (inst.),10.3030_101161771_full,-0.04324252136752136
Low-tier (inst.) - Top-tier (inst.),10.3030_101161846_full,-0.04329594017094016
Low-tier (inst.) - Top-tier (inst.),10.3030_101161961_full,-0.04294871794871794
Low-tier (inst.) - Top-tier (inst.),10.3030_101162146_full,-0.04260149572649572
Low-tier (inst.) - Top-tier (inst.),10.3030_101162166_full,-0.04353632478632478
