effect,effect_label,flip_label,K,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base,p_exit_given_funded_base_ci_low,p_exit_given_funded_base_ci_high,p_exit_unconditional_ci_low,p_exit_unconditional_ci_high,mean_rank_delta_ci_low,mean_rank_delta_ci_high
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.05416666666666667,0.5416666666666666,0.43995890410958904,0.6666666666666666,0.035416666666666666,0.07398437499999998,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.06875,0.55,0.4537617611147023,0.6759722222222222,0.04791666666666667,0.08958333333333333,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.07395833333333333,0.4930555555555556,0.3925443081117928,0.6091031149301825,0.053125,0.09791666666666667,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.0875,0.5,0.40119673443810056,0.6087298331966092,0.06458333333333334,0.11354166666666667,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.09375,0.46875,0.3818088097469541,0.5654761904761905,0.07080729166666666,0.121875,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.09791666666666667,0.4351851851851852,0.3472100083752094,0.5297517926089355,0.07395833333333333,0.12604166666666666,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,960.0,8.0,3.0,1.0,40.0,-0.062083333333333345,0.0,3.4927083333333333,0.0,12.203647416413373,0.34270833333333334,0.096875,0.10833333333333334,0.43333333333333335,0.3521579611218282,0.5240227574399323,0.08333333333333333,0.13645833333333332,2.8697395833333332,4.18546875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.04739583333333333,0.4739583333333333,0.4049831364668267,0.5760075846060587,0.034895833333333334,0.06016276041666666,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.055989583333333336,0.4479166666666667,0.38559504609394385,0.5319234728894989,0.041666666666666664,0.07109375,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,3840.0,8.0,3.0,4.0,40.0,-0.042994791666666664,0.0,2.1283854166666667,0.0,12.037545787545788,0.284375,0.13098958333333333,0.0640625,0.4270833333333333,0.36567109171059353,0.5057057019308125,0.04791015625,0.08151041666666667,1.7897786458333333,2.5133463541666665
