effect,effect_label,flip_label,K,model,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.05,0.5
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.041666666666666664,0.4166666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.058333333333333334,0.5833333333333334
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.05,0.5
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.08333333333333333,0.8333333333333334
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.06666666666666667,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.06666666666666667,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.016666666666666666,0.16666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.075,0.6
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.041666666666666664,0.3333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.075,0.6
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.06666666666666667,0.5333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.10833333333333334,0.8666666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.075,0.6
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.09166666666666666,0.7333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.016666666666666666,0.13333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.05,0.3333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.041666666666666664,0.2777777777777778
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.1,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.06666666666666667,0.4444444444444444
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.125,0.8333333333333334
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.09166666666666666,0.6111111111111112
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.09166666666666666,0.6111111111111112
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.025,0.16666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.041666666666666664,0.23809523809523808
