effect,effect_label,flip_label,K,prompt_template,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.040625,0.40625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.065625,0.65625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.05625,0.5625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.05625,0.45
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.075,0.6
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.075,0.6
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.0625,0.4166666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.075,0.5
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.084375,0.5625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.075,0.42857142857142855
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.090625,0.5178571428571429
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.096875,0.5535714285714286
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.08125,0.40625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.103125,0.515625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.096875,0.484375
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.0875,0.3888888888888889
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.10625,0.4722222222222222
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.1,0.4444444444444444
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,prompt_A,320.0,8.0,,1.0,40.0,-0.06781249999999998,0.0,3.4,0.0,11.55045871559633,0.340625,0.084375,0.1,0.4
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,prompt_B,320.0,8.0,,1.0,40.0,-0.057187500000000016,0.0,3.159375,0.0,12.101851851851851,0.3375,0.11875,0.121875,0.4875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,prompt_C,320.0,8.0,,1.0,40.0,-0.061250000000000006,0.0,3.91875,0.0,12.9375,0.35,0.0875,0.103125,0.4125
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.05390625,0.5390625
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.04140625,0.4140625
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.046875,0.46875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.0671875,0.5375
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.0453125,0.3625
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.05546875,0.44375
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.07734375,0.515625
